Month,Geometric mean,Arithmetic Mean,,,,,,,,,,,,,,,,
Sep-22,66.98215556,69.17751097,,,,,,,,,,,,,,,,
Oct-22,63.22177216,65.71783938,,,,,,,,,,,,,,,,
Nov-22,87.09108429,87.81150972,,,,,,,,,,,,,,,,
Dec-22,59.40418271,63.07467286,,,,,,,,,,,,,,,,
Jan-23,64.83915636,68.79794261,,,,,,,,,,,,,,,,
Feb-23,74.76654317,76.78167589,,,,,,,,,,,,,,,,
Mar-23,78.50484691,80.94735739,,,,,,,,,,,,,,,,
Apr-23,87.70178051,88.93132917,,,,,,,,,,,,,,,,
May-23,85.03700086,86.13724376,,Contains quite a lot outlier,,,,,,,,,,,,,,
Jun-23,85.9289765,86.44051639,,,,,,,,,,,,,,,,
Jul-23,78.84794644,79.89749234,,,,,,,,,,,,,,,,
Aug-23,79.76986818,80.60633589,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
